ID,Gender,Car,Reality,inc,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,wkphone,phone,email,famsize,MONTHS_BALANCE,dep_value,target,Age,ChldNo_1,ChldNo_2More,gp_inc_high,gp_inc_medium,gp_Age_high,gp_Age_highest,gp_Age_lowest,gp_Age_medium,worktm,gp_worktm_high,gp_worktm_highest,gp_worktm_low,gp_worktm_medium,famsizegp_1,famsizegp_3more,inctp_Commercial associate,inctp_State servant,occyp_Laborwk,occyp_hightecwk,houtp_Co-op apartment,houtp_Municipal apartment,houtp_Office apartment,houtp_Rented apartment,houtp_With parents,edutp_Higher education,edutp_Incomplete higher,edutp_Lower secondary,famtp_Civil marriage,famtp_Separated,famtp_Single / not married,famtp_Widow
5029440,0,1,1,0.0225,-17402,-3153,1,0,1,0,2,-39,3,1,47,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5029451,0,1,1,0.0225,-17402,-3153,1,0,1,0,2,-52,2,1,47,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5029720,0,1,1,0.02655,-10998,-2514,1,0,0,0,3,-52,2,1,30,1,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5033435,1,1,0,0.0315,-15476,-2879,1,0,1,0,4,-59,3,1,42,0,1,1,0,0,0,0,1,7,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5033514,0,1,0,0.0135,-15952,-384,1,1,0,0,3,-21,9,1,43,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5033829,0,1,1,0.0135,-13803,-2209,1,0,1,0,4,-29,3,1,37,0,1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5036625,1,0,0,0.0135,-14999,-321,1,1,1,0,3,-27,1,1,41,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5038807,1,1,1,0.02025,-12658,-5374,1,0,0,1,2,-42,22,1,34,0,0,0,1,0,0,0,0,14,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5041415,0,1,0,0.01575,-13146,-2163,1,0,0,0,2,-59,1,1,36,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5041498,1,1,1,0.009,-12821,-155,1,0,0,0,2,-56,1,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5041581,0,0,1,0.027,-19040,-1402,1,1,1,0,3,-39,1,1,52,1,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5041583,0,0,1,0.027,-19040,-1402,1,1,1,0,3,-47,1,1,52,1,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5045869,0,1,1,0.0315,-16710,-3092,1,0,0,0,3,-38,1,1,45,1,0,1,0,0,0,0,1,8,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5047823,0,1,0,0.0135,-10445,-249,1,0,0,0,2,-58,1,1,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5048560,0,0,1,0.0126,-15927,-1039,1,0,0,0,1,-54,2,1,43,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5051087,1,1,0,0.0315,-12037,-197,1,0,0,0,4,-59,1,1,32,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5051210,1,1,0,0.01917,-15473,-6557,1,1,1,0,2,-45,1,1,42,0,0,0,1,0,0,0,1,17,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5053149,0,0,1,0.0126,-12140,-779,1,0,0,0,3,-54,1,1,33,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5053254,0,1,1,0.018,-18667,-2150,1,1,0,0,2,-31,15,1,51,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5053478,0,0,1,0.01575,-18333,-7213,1,0,0,0,2,-33,1,1,50,0,0,0,1,1,0,0,0,19,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5053484,0,0,1,0.01575,-18333,-7213,1,0,0,0,2,-41,1,1,50,0,0,0,1,1,0,0,0,19,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5053673,0,1,1,0.0225,-12075,-1430,1,0,1,0,1,-40,1,1,33,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5053674,0,1,1,0.0225,-12075,-1430,1,0,1,0,1,-40,1,1,33,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5053676,0,1,1,0.0225,-12075,-1430,1,0,1,0,1,-33,1,1,33,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5053677,0,1,1,0.0225,-12075,-1430,1,0,1,0,1,-43,1,1,33,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5053679,0,1,1,0.0225,-12075,-1430,1,0,1,0,1,-22,1,1,33,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5054312,0,0,0,0.01125,-20285,-1734,1,1,1,0,2,-28,1,1,55,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5054313,0,0,0,0.01125,-20285,-1734,1,1,1,0,2,-48,1,1,55,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5054314,0,0,0,0.01125,-20285,-1734,1,1,1,0,2,-52,1,1,55,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5054315,0,0,0,0.01125,-20285,-1734,1,1,1,0,2,-50,1,1,55,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5056082,0,0,0,0.018,-11630,-3769,1,0,0,0,3,-51,3,1,31,1,0,0,1,0,0,0,0,10,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5061091,0,1,0,0.0135,-11128,-3242,1,1,0,0,5,-55,4,1,30,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5061130,0,0,1,0.0324,-13482,-4795,1,0,0,0,3,-37,1,1,36,1,0,1,0,0,0,0,0,13,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5062137,1,0,1,0.018,-12947,-137,1,0,0,0,2,-51,6,1,35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5065313,0,0,1,0.01575,-15645,-4280,1,0,0,0,3,-48,9,1,42,1,0,0,1,0,0,0,1,11,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5065314,0,0,1,0.01575,-15645,-4280,1,0,0,0,3,-60,9,1,42,1,0,0,1,0,0,0,1,11,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5065316,0,0,1,0.01575,-15645,-4280,1,0,0,0,3,-39,9,1,42,1,0,0,1,0,0,0,1,11,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5065348,0,1,1,0.02025,-15160,-3974,1,0,0,0,2,-56,3,1,41,0,0,0,1,0,0,0,1,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5065376,0,0,1,0.021555,-10429,-931,1,0,1,0,2,-48,5,1,28,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5065518,0,1,0,0.02025,-9510,-2878,1,0,0,0,3,-47,8,1,26,1,0,0,1,0,0,1,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
5066435,1,1,1,0.01575,-17344,-553,1,0,0,1,2,-32,1,1,47,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5066441,1,1,1,0.01575,-17344,-553,1,0,0,1,2,-36,1,1,47,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5066706,1,1,0,0.018,-9710,-1376,1,1,1,0,1,-57,2,1,26,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
5069077,0,0,1,0.02025,-14069,-3093,1,0,0,1,3,-44,1,1,38,1,0,0,1,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5069078,0,0,1,0.02025,-14069,-3093,1,0,0,1,3,-47,1,1,38,1,0,0,1,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5069216,0,1,1,0.02565,-11210,-1724,1,1,0,0,2,-60,7,1,30,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5069475,0,0,1,0.0225,-13600,-5711,1,0,1,0,4,-60,11,1,37,0,1,1,0,0,0,0,0,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5078801,0,0,1,0.0306,-18927,-2978,1,0,0,0,2,-38,10,1,51,0,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5078802,0,0,1,0.0306,-18927,-2978,1,0,0,0,2,-60,21,1,51,0,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5078804,0,0,1,0.0306,-18927,-2978,1,0,0,0,2,-36,8,1,51,0,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5078805,0,0,1,0.0306,-18927,-2978,1,0,0,0,2,-33,5,1,51,0,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5078813,1,0,1,0.045,-19080,-1851,1,0,1,0,2,-37,1,1,52,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5079016,1,1,1,0.09,-9889,-1000,1,0,0,0,4,-53,2,1,27,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5085623,1,0,1,0.02025,-12440,-503,1,0,1,0,2,-54,6,1,34,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5085698,0,0,1,0.01215,-20602,-138,1,0,0,0,2,-27,4,1,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5085886,1,1,1,0.0315,-18661,-1265,1,0,0,0,2,-60,48,1,51,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5088965,0,0,0,0.009,-17719,-3443,1,0,0,0,2,-54,1,1,48,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5089565,0,0,0,0.02025,-11309,-2713,1,1,0,0,2,-48,2,1,30,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5090216,1,1,1,0.0135,-10712,-217,1,0,0,0,2,-55,6,1,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5090400,0,0,0,0.0036,-14500,-459,1,1,0,0,2,-52,3,1,39,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5091902,0,1,1,0.0225,-19809,-1539,1,0,0,0,1,-27,5,1,54,0,0,1,0,1,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5092005,0,0,0,0.01125,-19721,-1539,1,0,0,0,2,-41,2,1,54,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5092008,0,0,0,0.01125,-19721,-1539,1,0,0,0,2,-50,2,1,54,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5092136,0,0,1,0.0135,-17000,-5740,1,0,0,0,2,-56,1,1,46,0,0,0,0,0,0,0,1,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5092251,1,1,1,0.01125,-17300,-1235,1,0,0,0,2,-57,1,1,47,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5095815,0,0,0,0.01125,-15447,-2470,1,1,0,0,5,-51,3,1,42,0,1,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5095839,1,0,0,0.0225,-14882,-1132,1,1,1,0,2,-39,6,1,40,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5096013,1,0,0,0.027,-9943,-554,1,1,0,0,3,-24,3,1,27,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5096527,0,0,0,0.0135,-20012,-584,1,0,0,0,1,-56,15,1,54,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5118420,1,1,0,0.009,-10853,-249,1,0,1,0,1,-25,1,1,29,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5117313,0,0,1,0.01575,-13022,-3931,1,1,1,0,3,-52,47,1,35,1,0,0,1,0,0,0,0,10,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5118544,0,1,0,0.027,-18279,-1741,1,0,1,0,2,-50,3,1,50,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100427,0,0,1,0.02025,-10746,-1100,1,0,1,0,3,-53,8,1,29,1,0,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5100428,0,0,1,0.02025,-10746,-1100,1,0,1,0,3,-40,7,1,29,1,0,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5104947,0,0,1,0.00675,-16694,-412,1,1,1,0,5,-42,8,1,45,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5105189,1,0,1,0.0315,-10499,-545,1,0,0,1,1,-33,2,1,28,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5105190,1,0,1,0.0315,-10499,-545,1,0,0,1,1,-53,2,1,28,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5105193,1,0,1,0.0315,-10499,-545,1,0,0,1,1,-53,2,1,28,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5105194,1,0,1,0.0315,-10499,-545,1,0,0,1,1,-32,2,1,28,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5105196,1,0,1,0.0315,-10499,-545,1,0,0,1,1,-27,2,1,28,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5105246,0,0,0,0.0207,-14740,-6723,1,0,1,0,2,-52,1,1,40,0,0,1,0,0,0,0,1,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5105556,0,0,1,0.01575,-19802,-4532,1,0,0,0,2,-21,2,1,54,0,0,0,1,1,0,0,0,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5105740,0,0,1,0.02925,-12368,-672,1,0,0,0,5,-26,1,1,33,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5105741,0,0,1,0.02925,-12368,-672,1,0,0,0,5,-27,1,1,33,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5112858,0,1,0,0.027,-12380,-2110,1,0,0,0,3,-40,5,1,33,1,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5113685,0,0,1,0.02925,-12379,-4453,1,0,0,1,2,-50,1,1,33,0,0,1,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5113705,0,0,1,0.0135,-14334,-376,1,0,0,0,4,-49,2,1,39,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5113758,0,0,1,0.01125,-10796,-1958,1,1,1,0,3,-30,3,1,29,1,0,0,0,0,0,1,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5115604,0,0,1,0.02025,-14523,-3420,1,0,0,0,2,-18,2,1,39,0,0,0,1,0,0,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5115606,0,0,1,0.02025,-14523,-3420,1,0,0,0,2,-20,2,1,39,0,0,0,1,0,0,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5115608,0,0,1,0.02025,-14523,-3420,1,0,0,0,2,-20,2,1,39,0,0,0,1,0,0,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5115631,1,0,0,0.02025,-22800,-102,1,0,0,0,2,-35,1,1,62,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5116035,1,1,1,0.0126,-14522,-863,1,1,0,0,1,-32,14,1,39,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
5116036,1,1,1,0.0126,-14522,-863,1,1,0,0,1,-33,15,1,39,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
5116149,0,1,1,0.0315,-14004,-292,1,0,0,0,3,-49,1,1,38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5116455,0,1,1,0.0135,-18090,-9194,1,0,0,0,2,-20,4,1,49,0,0,0,0,1,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5117723,0,0,0,0.02475,-18696,-1800,1,0,1,0,1,-40,2,1,51,0,0,1,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
5117787,0,1,0,0.0162,-9662,-796,1,1,1,0,4,-44,4,1,26,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5117788,0,1,0,0.0162,-9662,-796,1,1,1,0,4,-50,4,1,26,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5117791,0,1,0,0.0162,-9662,-796,1,1,1,0,4,-50,4,1,26,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5117793,0,1,0,0.0162,-9662,-796,1,1,1,0,4,-58,4,1,26,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5117794,0,1,0,0.0162,-9662,-796,1,1,1,0,4,-40,4,1,26,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5117961,0,1,0,0.0135,-10068,-219,1,1,0,0,2,-53,1,1,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5118167,1,1,0,0.0225,-12801,-4357,1,0,0,0,4,-48,1,1,35,0,1,1,0,0,0,0,0,11,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5118441,0,1,0,0.0108,-16138,-431,1,1,0,0,3,-42,3,1,44,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5118647,0,0,1,0.027,-10425,-2745,1,0,0,0,3,-53,2,1,28,0,1,1,0,0,0,1,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5125289,0,0,0,0.02025,-13939,-134,1,0,0,0,2,-40,5,1,38,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
